               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.2404,              4.9823,              4.1607,                   0,                   0,                   0,                   0,              6.2633,              8.1665,               8.095,            0.067107,          0.00033225,          0.00033225
                   1,              3.2783,              4.5804,              4.0812,          0.00016491,            0.013072,          0.00011701,          3.6314e-05,              6.1891,              7.9255,                8.03,            0.034103,          0.00066119,          0.00066119
                   2,              3.2813,              4.5096,              4.0335,          4.5993e-05,            0.004902,          2.3256e-05,          7.7118e-06,              6.1659,              7.9421,              7.9268,           0.0010943,          0.00098573,          0.00098573
                   3,              3.2608,               4.482,               4.005,          0.00021449,             0.01634,          0.00010904,          3.1454e-05,              6.1474,              7.7875,              7.9266,           0.0009802,           0.0009802,           0.0009802
                   4,              3.2121,              4.4333,              3.9824,          0.00062085,            0.053922,           0.0011717,          0.00037833,              6.1703,              7.5034,              7.8317,           0.0009802,           0.0009802,           0.0009802
                   5,              3.2533,              4.2699,              3.9495,           0.0017397,             0.34804,           0.0044522,           0.0010609,              6.0931,              7.0094,              7.7739,           0.0009736,           0.0009736,           0.0009736
                   6,              3.1876,              4.0656,              3.9022,             0.10285,            0.053922,            0.026426,           0.0073847,              5.8767,              6.4814,              7.7467,            0.000967,            0.000967,            0.000967
                   7,              3.0667,              3.7934,              3.8483,             0.18177,            0.099673,            0.056267,            0.016153,              5.6168,              6.0737,              7.5585,           0.0009604,           0.0009604,           0.0009604
                   8,              2.9492,               3.571,              3.7525,             0.21259,             0.12582,             0.08365,            0.026543,               5.463,              5.6215,              7.3096,           0.0009538,           0.0009538,           0.0009538
                   9,              2.8731,               3.351,              3.6553,             0.27646,             0.20098,             0.14766,            0.050729,              5.2291,              5.2092,              7.1161,           0.0009472,           0.0009472,           0.0009472
                  10,               2.734,              3.1161,              3.5354,             0.25654,             0.26105,             0.17847,            0.064136,              4.6447,              4.9401,              6.7922,           0.0009406,           0.0009406,           0.0009406
                  11,              2.5635,              2.8734,              3.3943,             0.48524,             0.36765,             0.36665,             0.13378,              4.3095,                4.57,              6.3768,            0.000934,            0.000934,            0.000934
                  12,              2.3933,              2.6076,              3.2188,              0.6576,             0.46078,             0.54032,              0.2684,              3.5655,              3.5213,              5.7709,           0.0009274,           0.0009274,           0.0009274
                  13,              2.2798,              2.4256,              3.0414,              0.5926,             0.51634,             0.53689,             0.25917,               3.546,              3.5965,              5.5306,           0.0009208,           0.0009208,           0.0009208
                  14,              2.2023,              2.3188,              2.9073,             0.72036,              0.5866,             0.68974,             0.35777,              3.2551,              3.0195,              5.1545,           0.0009142,           0.0009142,           0.0009142
                  15,                 2.1,              2.1498,              2.7795,             0.81635,             0.65033,             0.75548,             0.42474,              3.1358,               2.791,               4.903,           0.0009076,           0.0009076,           0.0009076
                  16,              2.0424,              2.0369,               2.682,             0.73422,             0.64999,             0.71467,              0.4268,              2.9841,              2.8269,              4.6827,            0.000901,            0.000901,            0.000901
                  17,              1.9686,              1.9318,               2.574,             0.77423,             0.69482,             0.77396,             0.43867,              3.0702,              2.6394,              4.5983,           0.0008944,           0.0008944,           0.0008944
                  18,               1.886,              1.8758,              2.4893,              0.7939,             0.70425,             0.80333,             0.48521,              2.8911,              2.4662,              4.4354,           0.0008878,           0.0008878,           0.0008878
                  19,              1.8841,              1.7904,              2.4191,             0.81853,             0.75175,             0.83192,             0.51181,              2.7467,              2.4012,              4.1491,           0.0008812,           0.0008812,           0.0008812
                  20,              1.8269,              1.7421,              2.3713,             0.78851,             0.74325,             0.81739,              0.5071,              2.7907,              2.4411,              4.1362,           0.0008746,           0.0008746,           0.0008746
                  21,              1.7537,              1.6467,              2.2538,             0.78803,             0.73504,             0.81013,              0.5201,              2.6192,              2.4474,              3.8974,            0.000868,            0.000868,            0.000868
                  22,              1.7442,              1.6064,              2.2201,             0.82618,             0.69608,              0.8115,             0.51835,               2.631,              2.4158,              3.8665,           0.0008614,           0.0008614,           0.0008614
                  23,              1.7186,              1.5859,              2.1776,             0.87182,             0.75327,             0.85303,              0.5637,                2.53,              2.1196,              3.7021,           0.0008548,           0.0008548,           0.0008548
                  24,              1.6734,              1.4993,              2.1206,             0.82516,             0.78922,             0.86871,              0.5739,              2.5278,              2.1234,              3.5761,           0.0008482,           0.0008482,           0.0008482
                  25,              1.6656,              1.4828,              2.0836,             0.83779,             0.76797,             0.86033,              0.5855,              2.4829,              2.0385,              3.5207,           0.0008416,           0.0008416,           0.0008416
                  26,              1.6238,              1.4576,              2.0551,             0.81438,             0.77941,             0.86998,             0.57807,              2.5566,              2.0996,               3.544,            0.000835,            0.000835,            0.000835
                  27,              1.6001,               1.411,              2.0114,             0.83228,             0.77842,             0.85747,             0.58742,              2.3791,              2.0269,              3.3899,           0.0008284,           0.0008284,           0.0008284
                  28,              1.5663,              1.3726,               1.979,             0.82367,             0.75327,             0.84823,             0.57145,              2.4495,              2.0859,              3.4326,           0.0008218,           0.0008218,           0.0008218
                  29,              1.5537,              1.3172,              1.9553,             0.88004,             0.77451,             0.87621,             0.61035,              2.3207,              1.9962,              3.3386,           0.0008152,           0.0008152,           0.0008152
                  30,              1.5573,              1.3236,              1.9529,             0.85723,              0.7451,             0.84853,             0.56935,              2.4855,              2.1107,              3.4859,           0.0008086,           0.0008086,           0.0008086
                  31,              1.5309,              1.2906,               1.933,             0.86825,             0.78595,             0.88638,             0.61039,              2.3187,              1.9078,              3.3008,            0.000802,            0.000802,            0.000802
                  32,              1.4894,              1.2331,               1.861,             0.90568,             0.80229,             0.89298,             0.62668,              2.2876,              1.8293,              3.2279,           0.0007954,           0.0007954,           0.0007954
                  33,              1.4999,              1.2198,              1.8816,             0.87769,             0.78558,             0.88849,             0.61027,              2.3672,              1.8232,              3.3321,           0.0007888,           0.0007888,           0.0007888
                  34,              1.4585,              1.2028,              1.8279,             0.88842,             0.77778,             0.88963,             0.61546,              2.3733,              1.9168,              3.3217,           0.0007822,           0.0007822,           0.0007822
                  35,              1.4329,              1.1603,              1.8167,             0.89267,             0.80392,             0.89497,             0.62019,              2.2755,              1.7938,              3.2596,           0.0007756,           0.0007756,           0.0007756
                  36,              1.4372,              1.1439,              1.8174,             0.92218,             0.81209,             0.91287,             0.63174,              2.2877,              1.7758,              3.2096,            0.000769,            0.000769,            0.000769
                  37,              1.4214,              1.1519,              1.7744,              0.9372,             0.82903,             0.92859,             0.65128,              2.2061,               1.656,              3.1607,           0.0007624,           0.0007624,           0.0007624
                  38,              1.4127,              1.1202,              1.7766,             0.85975,             0.81536,             0.89033,             0.60312,              2.3982,              1.8284,              3.2766,           0.0007558,           0.0007558,           0.0007558
                  39,              1.3924,              1.1038,              1.7539,             0.84798,             0.79575,             0.87877,               0.617,              2.2779,              1.8774,              3.2393,           0.0007492,           0.0007492,           0.0007492
                  40,                1.36,               1.076,              1.7227,             0.88533,             0.85787,             0.91921,             0.63273,              2.2668,              1.6816,              3.1626,           0.0007426,           0.0007426,           0.0007426
                  41,              1.3589,              1.0677,              1.7197,             0.87653,              0.8366,             0.90244,             0.61767,              2.3998,                1.78,              3.2929,            0.000736,            0.000736,            0.000736
                  42,              1.3291,              1.0425,              1.6911,             0.90898,             0.81209,             0.90496,             0.62612,              2.3321,              1.7236,              3.2256,           0.0007294,           0.0007294,           0.0007294
                  43,              1.3348,              1.0308,              1.7171,             0.88547,             0.85784,             0.92295,             0.64482,              2.2411,              1.5939,              3.1379,           0.0007228,           0.0007228,           0.0007228
                  44,              1.3151,              1.0052,               1.668,             0.89339,             0.84641,             0.91822,             0.64827,              2.2627,               1.631,              3.1605,           0.0007162,           0.0007162,           0.0007162
                  45,              1.2926,             0.98873,              1.6622,             0.89224,             0.82531,             0.89324,             0.62018,               2.388,              1.7561,              3.2672,           0.0007096,           0.0007096,           0.0007096
                  46,              1.2845,             0.95652,               1.641,              0.9189,             0.77762,             0.89207,             0.62654,              2.3334,              1.6967,              3.2425,            0.000703,            0.000703,            0.000703
                  47,              1.2681,             0.95755,               1.625,             0.90857,             0.84432,             0.91914,             0.65208,              2.2466,              1.5375,               3.187,           0.0006964,           0.0006964,           0.0006964
                  48,              1.2707,             0.95172,                1.62,             0.88602,             0.83835,             0.90306,             0.64118,              2.2792,              1.6705,              3.1621,           0.0006898,           0.0006898,           0.0006898
                  49,              1.2385,             0.91814,              1.6135,             0.94398,             0.80065,             0.91521,             0.64528,               2.288,              1.5779,              3.1892,           0.0006832,           0.0006832,           0.0006832
                  50,              1.2184,             0.90802,              1.5848,             0.91544,             0.83139,             0.91596,              0.6403,              2.2576,               1.591,               3.184,           0.0006766,           0.0006766,           0.0006766
                  51,              1.2283,             0.90598,              1.5735,             0.92175,              0.8366,             0.91969,             0.64396,              2.2919,              1.6085,              3.2018,             0.00067,             0.00067,             0.00067
                  52,              1.2139,             0.89687,              1.5695,             0.92381,             0.80719,              0.9075,             0.63216,              2.3162,              1.5873,               3.216,           0.0006634,           0.0006634,           0.0006634
                  53,              1.1973,              0.8751,              1.5553,             0.89243,             0.81335,             0.90177,             0.63128,              2.2763,              1.6351,              3.1741,           0.0006568,           0.0006568,           0.0006568
                  54,              1.1993,             0.86793,              1.5498,             0.90861,             0.82843,             0.91647,             0.64439,              2.2439,              1.5275,               3.145,           0.0006502,           0.0006502,           0.0006502
                  55,              1.1783,             0.86924,              1.5501,             0.88439,             0.83497,             0.90541,             0.62702,              2.3427,              1.5466,              3.2444,           0.0006436,           0.0006436,           0.0006436
                  56,              1.1598,             0.84001,                1.52,             0.90018,             0.84477,             0.92401,             0.64987,              2.2845,              1.5216,              3.1953,            0.000637,            0.000637,            0.000637
                  57,              1.1597,             0.83574,              1.5213,             0.85761,             0.85458,             0.91163,             0.63908,              2.2678,              1.5787,              3.1589,           0.0006304,           0.0006304,           0.0006304
                  58,              1.1548,             0.82829,              1.5118,              0.9131,             0.81373,             0.90921,             0.64924,              2.2191,              1.5562,              3.1279,           0.0006238,           0.0006238,           0.0006238
                  59,              1.1257,             0.81896,              1.4899,             0.90131,             0.83824,             0.91572,             0.64738,              2.2328,                1.53,              3.1315,           0.0006172,           0.0006172,           0.0006172
                  60,              1.1173,             0.78495,              1.4725,             0.90382,             0.81377,             0.90487,              0.6297,              2.3082,               1.606,              3.1657,           0.0006106,           0.0006106,           0.0006106
                  61,              1.1157,             0.78645,              1.4736,             0.91568,             0.83396,             0.92028,             0.65661,              2.2424,              1.4832,               3.129,            0.000604,            0.000604,            0.000604
                  62,              1.1071,             0.77445,              1.4487,             0.93965,             0.80229,             0.90743,             0.63722,              2.2829,              1.5715,              3.1672,           0.0005974,           0.0005974,           0.0005974
                  63,              1.1017,              0.7748,              1.4545,             0.93337,             0.82026,             0.92106,             0.64402,              2.3153,              1.4605,              3.1817,           0.0005908,           0.0005908,           0.0005908
                  64,              1.0882,             0.77721,                1.45,             0.87458,             0.85456,             0.91028,             0.64357,              2.2859,              1.5785,              3.1287,           0.0005842,           0.0005842,           0.0005842
                  65,              1.0945,             0.76361,              1.4415,             0.92078,             0.81373,             0.91798,             0.64516,              2.3082,              1.5168,              3.1729,           0.0005776,           0.0005776,           0.0005776
                  66,              1.0881,             0.75847,              1.4395,              0.9446,             0.80882,             0.92879,              0.6644,              2.2178,              1.4621,              3.1177,            0.000571,            0.000571,            0.000571
                  67,              1.0504,             0.72526,              1.4081,             0.90965,             0.84641,             0.91776,             0.65509,              2.2624,              1.5215,              3.1541,           0.0005644,           0.0005644,           0.0005644
                  68,               1.061,             0.73478,              1.3998,             0.90321,              0.8317,             0.91032,             0.64566,              2.2228,              1.5699,              3.1114,           0.0005578,           0.0005578,           0.0005578
                  69,               1.046,             0.72513,              1.3897,             0.89126,             0.84369,             0.91801,             0.64736,              2.2787,              1.5335,              3.1568,           0.0005512,           0.0005512,           0.0005512
                  70,              1.0312,             0.70936,              1.3824,             0.93737,              0.8219,             0.92483,             0.65739,              2.2494,              1.5341,              3.1381,           0.0005446,           0.0005446,           0.0005446
                  71,              1.0337,              0.6856,              1.3958,             0.92805,             0.81046,             0.91428,              0.6436,              2.2842,              1.5141,              3.2144,            0.000538,            0.000538,            0.000538
                  72,              1.0421,             0.71438,              1.3933,             0.87763,             0.82033,             0.89674,             0.61307,               2.425,              1.5996,              3.3405,           0.0005314,           0.0005314,           0.0005314
                  73,              1.0202,             0.68393,              1.3716,             0.89962,             0.85458,             0.91784,             0.64485,              2.2618,               1.502,              3.1984,           0.0005248,           0.0005248,           0.0005248
                  74,              1.0008,             0.67318,              1.3467,             0.90373,             0.84366,             0.91806,             0.63596,               2.311,              1.5053,              3.2096,           0.0005182,           0.0005182,           0.0005182
                  75,             0.99173,             0.67201,              1.3511,             0.88704,             0.82117,             0.90535,             0.62882,              2.3466,              1.5817,              3.2162,           0.0005116,           0.0005116,           0.0005116
                  76,             0.99162,             0.69011,              1.3533,             0.88435,             0.86111,             0.91741,              0.6484,               2.287,              1.5484,              3.1972,            0.000505,            0.000505,            0.000505
                  77,             0.98638,             0.67195,              1.3416,             0.92181,             0.86691,             0.93704,             0.66096,              2.2558,              1.4187,              3.1184,           0.0004984,           0.0004984,           0.0004984
                  78,             0.98641,             0.67675,              1.3402,             0.91437,             0.83754,             0.92026,             0.64793,              2.3006,              1.4604,              3.2067,           0.0004918,           0.0004918,           0.0004918
                  79,             0.97478,             0.65166,              1.3178,             0.91699,             0.83987,             0.92686,             0.65726,              2.2274,              1.5056,              3.1291,           0.0004852,           0.0004852,           0.0004852
                  80,             0.96724,             0.63644,              1.3183,               0.908,             0.85472,             0.92806,             0.65962,              2.3044,              1.4625,              3.2023,           0.0004786,           0.0004786,           0.0004786
                  81,             0.96739,             0.65346,              1.3152,             0.90152,             0.84314,             0.92435,             0.65339,              2.2734,              1.4758,              3.1609,            0.000472,            0.000472,            0.000472
                  82,             0.94832,             0.64736,               1.292,               0.881,             0.85887,             0.91839,             0.64769,              2.3305,               1.476,              3.2592,           0.0004654,           0.0004654,           0.0004654
                  83,             0.94068,             0.63531,              1.2884,             0.91225,             0.84477,             0.92748,             0.65937,              2.2379,              1.4487,              3.1654,           0.0004588,           0.0004588,           0.0004588
